loja_sync,sku,produto,custo,preco,imposto,updated_at
JK Peças,71,,17.21,,24.00,27/05/2026 08:39
JK Peças,47,,25.36,,24.00,27/05/2026 08:39
JK Peças,251,,8.71,,24.00,27/05/2026 08:39
JK Peças,264,,35.70,,24.00,27/05/2026 08:39
JK Peças,363,,80.62,,24.00,27/05/2026 08:39
JK Peças,194,,10.92,,24.00,27/05/2026 08:39
JK Peças,199,,78.30,,24.00,27/05/2026 08:39
JK Peças,379-2,,8.10,,24.00,27/05/2026 08:39
JK Peças,252-2,,12.96,,24.00,27/05/2026 08:39
JK Peças,430,,76.54,,20.00,27/05/2026 08:39
JK Peças,221,,19.05,,20.00,27/05/2026 08:39
JK Peças,126,,148.45,,24.00,27/05/2026 08:39
JK Peças,246,,32.73,,24.00,27/05/2026 08:39
JK Peças,391,,79.74,,24.00,27/05/2026 08:39
JK Peças,352,,49.17,,24.00,27/05/2026 08:39
JK Peças,49,,2.31,,24.00,27/05/2026 08:39
JK Peças,425-2,,68.47,,20.00,27/05/2026 08:39
JK Peças,234,,38.44,,24.00,27/05/2026 08:39
JK Peças,190,,58.62,,24.00,27/05/2026 08:39
JK Peças,297,,8.54,,24.00,27/05/2026 08:39
JK Peças,377-4,,39.75,,24.00,27/05/2026 08:39
JK Peças,002,,35.67,,24.00,27/05/2026 08:39
JK Peças,192,,34.65,,24.00,27/05/2026 08:39
JK Peças,198-2,,60.52,,24.00,27/05/2026 08:39
JK Peças,327,,27.92,,20.00,27/05/2026 08:39
JK Peças,198-3,,44.67,,24.00,27/05/2026 08:39
JK Peças,314-K,,21.98,,24.00,27/05/2026 08:39
JK Peças,381,,143.97,,24.00,27/05/2026 08:39
JK Peças,277,,33.88,,24.00,27/05/2026 08:39
JK Peças,200,,112.48,,24.00,27/05/2026 08:39
JK Peças,315-K,,16.40,,24.00,27/05/2026 08:39
JK Peças,61,,22.46,,24.00,27/05/2026 08:39
JK Peças,268,,60.71,,24.00,27/05/2026 08:39
JK Peças,120,,11.01,,20.00,27/05/2026 08:39
JK Peças,279,,91.90,,24.00,27/05/2026 08:39
JK Peças,312,,36.75,,24.00,27/05/2026 08:39
JK Peças,358,,22.72,,24.00,27/05/2026 08:39
JK Peças,258,,138.72,,24.00,27/05/2026 08:39
JK Peças,219-K6,,60.36,,24.00,27/05/2026 08:39
JK Peças,155,,89.50,,20.00,27/05/2026 08:39
JK Peças,134,,50.97,,24.00,27/05/2026 08:39
JK Peças,12,,37.12,,24.00,27/05/2026 08:39
JK Peças,225,,30.28,,24.00,27/05/2026 08:39
JK Peças,360,,26.40,,20.00,27/05/2026 08:39
JK Peças,401,,189.17,,24.00,27/05/2026 08:39
JK Peças,411,,26.65,,20.00,27/05/2026 08:39
JK Peças,313,,22.27,,24.00,27/05/2026 08:39
JK Peças,257,,40.32,,24.00,27/05/2026 08:39
JK Peças,273,,42.63,,24.00,27/05/2026 08:39
JK Peças,278,,96.24,,24.00,27/05/2026 08:39
JK Peças,15-1,,32.16,,24.00,27/05/2026 08:39
JK Peças,231,,41.70,,20.00,27/05/2026 08:39
JK Peças,326,,102.64,,24.00,27/05/2026 08:39
JK Peças,274,,11.59,,24.00,27/05/2026 08:39
JK Peças,342,,31.56,,24.00,27/05/2026 08:39
JK Peças,316,,16.29,,24.00,27/05/2026 08:39
JK Peças,147-k4,,100.92,,24.00,27/05/2026 08:39
JK Peças,241-1,,105.07,,20.00,27/05/2026 08:39
JK Peças,337,,44.49,,24.00,27/05/2026 08:39
JK Peças,008,,12.42,,24.00,27/05/2026 08:39
JK Peças,005,,54.77,,24.00,27/05/2026 08:39
JK Peças,001,,12.07,,24.00,27/05/2026 08:39
JK Peças,16,,5.04,,24.00,27/05/2026 08:39
JK Peças,35,,12.61,,24.00,27/05/2026 08:39
JK Peças,318,,38.13,,20.00,27/05/2026 08:39
JK Peças,4-1,,25.78,,24.00,27/05/2026 08:39
JK Peças,20,,45.38,,24.00,27/05/2026 08:39
JK Peças,198-4,,45.35,,24.00,27/05/2026 08:39
JK Peças,308,,37.12,,24.00,27/05/2026 08:39
JK Peças,107-1,,28.43,,24.00,27/05/2026 08:39
